# k,n=0,n=1,n=2,n=3
-3.141592653589793116e+00,5.493973966185215119e+01,5.493973971223244490e+01,9.445758324123225691e+01,9.445758435351758919e+01
-3.078126135335453650e+00,5.474217029884098906e+01,5.514134110021218049e+01,9.386084556456687267e+01,9.505835401521888173e+01
-3.014659617081114629e+00,5.454863293580925898e+01,5.534697453814904122e+01,9.326813931739613395e+01,9.566315621749241416e+01
-2.951193098826775163e+00,5.435912759814141282e+01,5.555664000064284380e+01,9.267946505646251865e+01,9.627199040358206616e+01
-2.887726580572436141e+00,5.417365428602878552e+01,5.577033748748202413e+01,9.209482278236025365e+01,9.688485657287380093e+01
-2.824260062318096676e+00,5.399221299966020382e+01,5.598806699845123802e+01,9.151421249568139160e+01,9.750175472474822413e+01
-2.760793544063757654e+00,5.381480373921781535e+01,5.620982853333028118e+01,9.093763419701221551e+01,9.812268485858074030e+01
-2.697327025809418188e+00,5.364142650488206243e+01,5.643562209189553869e+01,9.036508788693598149e+01,9.874764697374631339e+01
-2.633860507555079167e+00,5.347208129682720568e+01,5.666544767391771842e+01,8.979657356602926654e+01,9.937664106961115351e+01
-2.570393989300739701e+00,5.330676811522420167e+01,5.689930527916534686e+01,8.923209123486776662e+01,1.000096671455393391e+02
-2.506927471046400679e+00,5.314548696024103691e+01,5.713719490740191276e+01,8.867164089402352545e+01,1.006467252008934139e+02
-2.443460952792061214e+00,5.298823783203983595e+01,5.737911655838718161e+01,8.811522254405974763e+01,1.012878152350282619e+02
-2.379994434537722192e+00,5.283502073078037853e+01,5.762507023187704647e+01,8.756283618554176940e+01,1.019329372472963513e+02
-2.316527916283382726e+00,5.268583565661637635e+01,5.787505592762164497e+01,8.701448181902576096e+01,1.025820912370461855e+02
-2.253061398029043261e+00,5.254068260969935267e+01,5.812907364536996369e+01,8.647015944506689777e+01,1.032352772036208250e+02
-2.189594879774704239e+00,5.239956159017673798e+01,5.838712338486426745e+01,8.592986906421484150e+01,1.038924951463599626e+02
-2.126128361520365218e+00,5.226247259818932633e+01,5.864920514584411393e+01,8.539361067701506158e+01,1.045537450646005624e+02
-2.062661843266025752e+00,5.212941563387671806e+01,5.891531892804444226e+01,8.486138428400970213e+01,1.052190269576746999e+02
-1.999195325011686508e+00,5.200039069737304231e+01,5.918546473119672413e+01,8.433318988573796560e+01,1.058883408249085392e+02
-1.935728806757347265e+00,5.187539778880915975e+01,5.945964255502776297e+01,8.380902748273256009e+01,1.065616866656272066e+02
-1.872262288503008021e+00,5.175443690831137644e+01,5.973785239926021973e+01,8.328889707552137622e+01,1.072390644791492065e+02
-1.808795770248668777e+00,5.163750805600103178e+01,6.002009426361331634e+01,8.277279866463311464e+01,1.079204742647903004e+02
-1.745329251994329534e+00,5.152461123199721271e+01,6.030636814780223887e+01,8.226073225058793525e+01,1.086059160218626261e+02
-1.681862733739990290e+00,5.141574643641362030e+01,6.059667405153668085e+01,8.175269783390271527e+01,1.092953897496717133e+02
-1.618396215485650824e+00,5.131091366935974918e+01,6.089101197452446002e+01,8.124869541509184501e+01,1.099888954475218412e+02
-1.554929697231311581e+00,5.121011293094291972e+01,6.118938191646709868e+01,8.074872499466354725e+01,1.106864331147134948e+02
-1.491463178976972337e+00,5.111334422126407162e+01,6.149178387706320592e+01,8.025278657312452424e+01,1.113880027505411476e+02
-1.427996660722633093e+00,5.102060754042085478e+01,6.179821785600751838e+01,7.976088015097465700e+01,1.120936043542944560e+02
-1.364530142468293850e+00,5.093190288850701819e+01,6.210868385299033889e+01,7.927300572871170914e+01,1.128032379252613424e+02
-1.301063624213954606e+00,5.084723026561258763e+01,6.242318186769858102e+01,7.878916330682874047e+01,1.135169034627262477e+02
-1.237597105959615362e+00,5.076658967182338955e+01,6.274171189981339580e+01,7.830935288581362386e+01,1.142346009659643471e+02
-1.174130587705276119e+00,5.068998110721960870e+01,6.306427394901292161e+01,7.783357446615245578e+01,1.149563304342528056e+02
-1.110664069450936875e+00,5.061740457188047060e+01,6.339086801497191459e+01,7.736182804832593263e+01,1.156820918668627911e+02
-1.047197551196597409e+00,5.054886006587756242e+01,6.372149409736039161e+01,7.689411363281035960e+01,1.164118852630597161e+02
-9.837310329422583877e-01,5.048434758928161159e+01,6.405615219584321096e+01,7.643043122007867396e+01,1.171457106221065487e+02
-9.202645146879189220e-01,5.042386714215656696e+01,6.439484231008266590e+01,7.597078081059865440e+01,1.178835679432618662e+02
-8.567979964335799004e-01,5.036741872456460101e+01,6.473756443973704222e+01,7.551516240483492481e+01,1.186254572257788880e+02
-7.933314781792404347e-01,5.031500233656166898e+01,6.508431858445982243e+01,7.506357600324871271e+01,1.193713784689095405e+02
-7.298649599249014130e-01,5.026661797820214872e+01,6.543510474390004106e+01,7.461602160629676916e+01,1.201213316718991564e+02
-6.663984416705619473e-01,5.022226564953394501e+01,6.578992291770371992e+01,7.417249921443035987e+01,1.208753168339909223e+02
-6.029319234162229257e-01,5.018194535060184336e+01,6.614877310551213441e+01,7.373300882809658674e+01,1.216333339544203227e+02
-5.394654051618834600e-01,5.014565708144691314e+01,6.651165530696268036e+01,7.329755044774248063e+01,1.223953830324251584e+02
-4.759988869075444384e-01,5.011340084210564072e+01,6.687856952168863245e+01,7.286612407380550849e+01,1.231614640672318330e+02
