# k,n=0,n=1,n=2,n=3
-3.141592653589793116e+00,9.991964450504980277e+00,3.505894649140208230e+01,7.185038570639416378e+01,7.425657616202573763e+01
-3.078126135335453650e+00,9.991732544906794189e+00,3.506111671425136933e+01,7.174188568617290684e+01,7.437088261105614606e+01
-3.014659617081114629e+00,9.991042220883816327e+00,3.506761295616038154e+01,7.146224338365681206e+01,7.466795550040274065e+01
-2.951193098826775163e+00,9.989896475161605949e+00,3.507841988354018525e+01,7.108698976931212599e+01,7.507227432444419435e+01
-2.887726580572436141e+00,9.988300282799261964e+00,3.509351191053955432e+01,7.066453751187341936e+01,7.553544388385218156e+01
-2.824260062318096676e+00,9.986260570782112822e+00,3.511285315282387387e+01,7.021924650700263726e+01,7.603312879581915240e+01
-2.760793544063757654e+00,9.983786181379317171e+00,3.513639736272435954e+01,6.976330031879979288e+01,7.655317710576944989e+01
-2.697327025809418188e+00,9.980887825561930882e+00,3.516408784566617385e+01,6.930318100557119010e+01,7.708914552782319163e+01
-2.633860507555079167e+00,9.977578026885865370e+00,3.519585735779592284e+01,6.884259782750909551e+01,7.763737081458469902e+01
-2.570393989300739701e+00,9.973871056330517959e+00,3.523162798480360181e+01,6.838382553221131843e+01,7.819563155797635545e+01
-2.506927471046400679e+00,9.969782858569724127e+00,3.527131100202947067e+01,6.792835048429159883e+01,7.876250215178217218e+01
-2.443460952792061214e+00,9.965330970339007166e+00,3.531480671612811761e+01,6.747720238171459073e+01,7.933702116941501004e+01
-2.379994434537722192e+00,9.960534431492504837e+00,3.536200428883623914e+01,6.703113462905763242e+01,7.991851108179029950e+01
-2.316527916283382726e+00,9.955413689467579985e+00,3.541278154366803932e+01,6.659072757412832289e+01,8.050647510268740348e+01
-2.253061398029043261e+00,9.949990497866938455e+00,3.546700475684645681e+01,6.615645032684786031e+01,8.110053543496799477e+01
-2.189594879774704239e+00,9.944287809897867092e+00,3.552452843430788221e+01,6.572869928637958026e+01,8.170039478203970873e+01
-2.126128361520365218e+00,9.938329667431856862e+00,3.558519507728667008e+01,6.530782302430002062e+01,8.230581146467721965e+01
-2.062661843266025752e+00,9.932141086449556511e+00,3.564883493983469265e+01,6.489413888158357224e+01,8.291658277046389003e+01
-1.999195325011686508e+00,9.925747939611616388e+00,3.571526578259672391e+01,6.448794436830583265e+01,8.353253342821190586e+01
-1.935728806757347265e+00,9.919176836713768708e+00,3.578429262835120284e+01,6.408952520645807738e+01,8.415350734359034846e+01
-1.872262288503008021e+00,9.912455003750665128e+00,3.585570752618047408e+01,6.369916114413983621e+01,8.477936143854620354e+01
-1.808795770248668777e+00,9.905610161278742609e+00,3.592928933271102920e+01,6.331713024975979920e+01,8.540996084929385290e+01
-1.745329251994329534e+00,9.898670402748811270e+00,3.600480352061595823e+01,6.294371214006260118e+01,8.604517498308764800e+01
-1.681862733739990290e+00,9.891664073439141447e+00,3.608200202661058142e+01,6.257919043675332205e+01,8.668487408103555936e+01
