# k,n=0,n=1,n=2,n=3
-3.141592653589793116e+00,2.256587434922475666e+01,5.289365107332553606e+01,8.361661156766152203e+01,8.438431933033390919e+01
-3.078126135335453650e+00,2.256566903385342471e+01,5.289721387823965415e+01,8.331655008027031784e+01,8.468891084747025388e+01
-3.014659617081114629e+00,2.256505972932973236e+01,5.290789803298048355e+01,8.280901074131070061e+01,8.521003879143954407e+01
-2.951193098826775163e+00,2.256404904336378081e+01,5.292569889925166393e+01,8.227202463155579437e+01,8.576967326081219767e+01
-2.887726580572436141e+00,2.256264130664313328e+01,5.295060874765736969e+01,8.172973926804816358e+01,8.634366870829612139e+01
-2.824260062318096676e+00,2.256084255075356282e+01,5.298261675727763986e+01,8.118793973823542842e+01,8.692624281378323303e+01
-2.760793544063757654e+00,2.255866047751056769e+01,5.302170901416654658e+01,8.064867200898787303e+01,8.751535318557242249e+01
-2.697327025809418188e+00,2.255610441993417226e+01,5.306786850784956044e+01,8.011284613560002299e+01,8.811009416483959455e+01
-2.633860507555079167e+00,2.255318529519957593e+01,5.312107512459546399e+01,7.958093457554028305e+01,8.870999852883328174e+01
-2.570393989300739701e+00,2.254991554989664593e+01,5.318130563588477600e+01,7.905321283109226727e+01,8.931479686897402814e+01
-2.506927471046400679e+00,2.254630909802253669e+01,5.324853368017750910e+01,7.852985757469907924e+01,8.992431949043175621e+01
-2.443460952792061214e+00,2.254238125218675037e+01,5.332272973559646090e+01,7.801099184334353254e+01,9.053845124732841043e+01
-2.379994434537722192e+00,2.253814864850341593e+01,5.340386108070453730e+01,7.749670788945751099e+01,9.115710872670257459e+01
-2.316527916283382726e+00,2.253362916573319907e+01,5.349189173993411828e+01,7.698707963641372487e+01,9.178022783385441130e+01
-2.253061398029043261e+00,2.252884183925773698e+01,5.358678240955358518e+01,7.648216991557875133e+01,9.240775660302847427e+01
-2.189594879774704239e+00,2.252380677042070189e+01,5.368849035917546786e+01,7.598203492185970731e+01,9.303965079753868395e+01
-2.126128361520365218e+00,2.251854503190352474e+01,5.379696930279111200e+01,7.548672711637848920e+01,9.367587107200041885e+01
-2.062661843266025752e+00,2.251307856971033061e+01,5.391216923198714284e+01,7.499629723342454213e+01,9.431638104110683685e+01
-1.999195325011686508e+00,2.250743010238331721e+01,5.403403620234528404e+01,7.451079576265401272e+01,9.496114588586293337e+01
-1.935728806757347265e+00,2.250162301805893250e+01,5.416251206197337353e+01,7.403027412757236903e+01,9.561013127858471705e+01
-1.872262288503008021e+00,2.249568126995551154e+01,5.429753410839286687e+01,7.355478570007048233e+01,9.626330248967104808e+01
-1.808795770248668777e+00,2.248962927088827968e+01,5.443903465659593621e+01,7.308438674622381370e+01,9.692062358439258674e+01
-1.745329251994329534e+00,2.248349178734660825e+01,5.458694049656598679e+01,7.261913737454754880e+01,9.758205664260532330e+01
-1.681862733739990290e+00,2.247729383369596690e+01,5.474117221269808198e+01,7.215910254652487765e+01,9.824756094665370654e+01
-1.618396215485650824e+00,2.247106056699841403e+01,5.490164332976884509e+01,7.170435320606759433e+01,9.891709208683036536e+01
-1.554929697231311581e+00,2.246481718292889695e+01,5.506825923976322912e+01,7.125496758804628428e+01,9.959060093156182347e+01
-1.491463178976972337e+00,2.245858881322844525e+01,5.524091584997537296e+01,7.081103277534296581e+01,1.002680324014829267e+02
-1.427996660722633093e+00,2.245240042511851541e+01,5.541949787399483540e+01,7.037264658970738651e+01,1.009493239721781350e+02
-1.364530142468293850e+00,2.244627672303729682e+01,5.560387666147389751e+01,6.993991992535018198e+01,1.016344038079477201e+02
-1.301063624213954606e+00,2.244024205304059549e+01,5.579390742714393525e+01,6.951297966825110564e+01,1.023231883955621555e+02
-1.237597105959615362e+00,2.243432031016759964e+01,5.598942569020066173e+01,6.909197239257079559e+01,1.030155794977851968e+02
-1.174130587705276119e+00,2.242853484906388672e+01,5.619024266577446269e+01,6.867706909420306260e+01,1.037114601736098649e+02
-1.110664069450936875e+00,2.242290839806542735e+01,5.639613925170575470e+01,6.826847131961365278e+01,1.044106895032736873e+02
-1.047197551196597409e+00,2.241746297695634027e+01,5.660685811249405219e+01,6.786641918906207138e+01,1.051130954907858808e+02
-9.837310329422583877e-01,2.241221981861050949e+01,5.682209315760371737e+01,6.747120201774818327e+01,1.058184653611102704e+02
-9.202645146879189220e-01,2.240719929460199822e+01,5.704147541219323614e+01,6.708317253740516151e+01,1.065265320660135160e+02
-8.567979964335799004e-01,2.240242084496365393e+01,5.726455383780795927e+01,6.670276616118493962e+01,1.072369551621549135e+02
-7.933314781792404347e-01,2.239790291214683293e+01,5.749076900869175688e+01,6.633052738656769520e+01,1.079492931493793719e+02
-7.298649599249014130e-01,2.239366287928400467e+01,5.771941658401795650e+01,6.596714639621153253e+01,1.086629625293822272e+02
-6.663984416705619473e-01,2.238971701281055360e+01,5.794959609790007704e+01,6.561351033514301889e+01,1.093771756455139013e+02
-6.029319234162229257e-01,2.238608040946271061e+01,5.818013855208111096e+01,6.527077577953892273e+01,1.100908435806160810e+02
-5.394654051618834600e-01,2.238276694771089126e+01,5.840950352679555380e+01,6.494047168175910656e+01,1.108024195657707764e+02
-4.759988869075444384e-01,2.237978924363346778e+01,5.863563323246019365e+01,6.462464536912438007e+01,1.115096373507215048e+02
-4.125323686532049727e-01,2.237715861121435879e+01,5.885574843891157570e+01,6.432606665978973126e+01,1.122090567621000190e+02
-3.490658503988659511e-01,2.237488502709875959e+01,5.906607405731656968e+01,6.404850232072361393e+01,1.128952412566962522e+02
-2.855993321445264854e-01,2.237297709979917926e+01,5.926150253678189728e+01,6.379705270582006449e+01,1.135592097789499348e+02
-2.221328138901874638e-01,2.237144204329734620e+01,5.943526786400068573e+01,6.357847778588619292e+01,1.141854457128090274e+02
-1.586662956358479981e-01,2.237028565509372413e+01,5.957885051159227174e+01,6.340129222490374161e+01,1.147462379709898528e+02
-9.519977738150853241e-02,2.236951229865965729e+01,5.968255606978095074e+01,6.327518676798058550e+01,1.151927577953808708e+02
-3.173325912716951080e-02,2.236912489027661621e+01,5.973727286125282632e+01,6.320927064117409344e+01,1.154507784904203902e+02
3.173325912716995489e-02,2.236912489027621476e+01,5.973727286125307501e+01,6.320927064117427108e+01,1.154507784904215697e+02
9.519977738150897650e-02,2.236951229865875490e+01,5.968255606978085837e+01,6.327518676797988917e+01,1.151927577953818229e+02
1.586662956358484422e-01,2.237028565509350742e+01,5.957885051159167489e+01,6.340129222490265448e+01,1.147462379709901938e+02
2.221328138901874638e-01,2.237144204329659658e+01,5.943526786400036599e+01,6.357847778588607213e+01,1.141854457128089564e+02
2.855993321445269295e-01,2.237297709979826976e+01,5.926150253678184754e+01,6.379705270582162058e+01,1.135592097789496506e+02
3.490658503988659511e-01,2.237488502709836524e+01,5.906607405731624283e+01,6.404850232072382710e+01,1.128952412566962238e+02
4.125323686532054168e-01,2.237715861121385430e+01,5.885574843891144781e+01,6.432606665978961757e+01,1.122090567620998911e+02
4.759988869075444384e-01,2.237978924363380884e+01,5.863563323246051340e+01,6.462464536912368374e+01,1.115096373507215333e+02
5.394654051618839041e-01,2.238276694771105824e+01,5.840950352679583801e+01,6.494047168175873708e+01,1.108024195657713733e+02
6.029319234162229257e-01,2.238608040946205691e+01,5.818013855208118912e+01,6.527077577953882326e+01,1.100908435806162800e+02
6.663984416705623914e-01,2.238971701281141335e+01,5.794959609790093680e+01,6.561351033514344522e+01,1.093771756455130628e+02
7.298649599249014130e-01,2.239366287928516286e+01,5.771941658401804887e+01,6.596714639621194465e+01,1.086629625293815877e+02
7.933314781792408787e-01,2.239790291214672635e+01,5.749076900869155082e+01,6.633052738656786573e+01,1.079492931493791303e+02
8.567979964335799004e-01,2.240242084496373920e+01,5.726455383780758268e+01,6.670276616118486857e+01,1.072369551621546861e+02
9.202645146879193661e-01,2.240719929460247073e+01,5.704147541219353457e+01,6.708317253740429464e+01,1.065265320660133170e+02
9.837310329422583877e-01,2.241221981860988777e+01,5.682209315760393764e+01,6.747120201774843906e+01,1.058184653611102419e+02
1.047197551196598297e+00,2.241746297695633672e+01,5.660685811249404509e+01,6.786641918906192927e+01,1.051130954907857102e+02
1.110664069450937319e+00,2.242290839806492286e+01,5.639613925170616682e+01,6.826847131961424964e+01,1.044106895032742557e+02
1.174130587705276341e+00,2.242853484906459371e+01,5.619024266577424953e+01,6.867706909420341788e+01,1.037114601736086996e+02
1.237597105959615362e+00,2.243432031016638462e+01,5.598942569020076121e+01,6.909197239257083822e+01,1.030155794977854953e+02
1.301063624213955272e+00,2.244024205303988850e+01,5.579390742714402762e+01,6.951297966825148933e+01,1.023231883955618571e+02
1.364530142468294294e+00,2.244627672303793631e+01,5.560387666147383356e+01,6.993991992534954250e+01,1.016344038079477059e+02
1.427996660722633315e+00,2.245240042511892753e+01,5.541949787399517646e+01,7.037264658970782705e+01,1.009493239721780071e+02
1.491463178976972337e+00,2.245858881322852696e+01,5.524091584997548665e+01,7.081103277534346319e+01,1.002680324014827278e+02
